"PS code, 2020",California Census tracts ,"Number of people in state prison from each Census tract, 2020","Census population, 2020","Total population, 2020","Imprisonment rate per 100,000"
6037106603,"Los Angeles County, Census Tract 1066.03",4,"2,998","3,002",133
6037106604,"Los Angeles County, Census Tract 1066.04",22,"5,378","5,400",407
6037106641,"Los Angeles County, Census Tract 1066.41",8,"2,330","2,338",342
6037106642,"Los Angeles County, Census Tract 1066.42",8,"3,316","3,324",241
6037106643,"Los Angeles County, Census Tract 1066.43",13,"4,084","4,097",317
6037106645,"Los Angeles County, Census Tract 1066.45",5,"3,501","3,506",143
6037106646,"Los Angeles County, Census Tract 1066.46",11,"3,367","3,378",326
6037106648,"Los Angeles County, Census Tract 1066.48",25,"4,815","4,840",517
6037106649,"Los Angeles County, Census Tract 1066.49",3,"2,754","2,757",109
6037107010,"Los Angeles County, Census Tract 1070.1",12,"3,205","3,217",373
6037107020,"Los Angeles County, Census Tract 1070.2",30,"5,488","5,518",544
6037108101,"Los Angeles County, Census Tract 1081.01",0,"2,324","2,324",0
6037108102,"Los Angeles County, Census Tract 1081.02",8,"3,795","3,803",210
6037108103,"Los Angeles County, Census Tract 1081.03",8,"3,190","3,198",250
6037108104,"Los Angeles County, Census Tract 1081.04",6,"1,692","1,698",353
6037108202,"Los Angeles County, Census Tract 1082.02",14,"8,701","8,715",161
6037108203,"Los Angeles County, Census Tract 1082.03",5,"3,577","3,582",140
6037108204,"Los Angeles County, Census Tract 1082.04",3,"1,857","1,860",161
6037109100,"Los Angeles County, Census Tract 1091",11,"2,958","2,969",371
6037109200,"Los Angeles County, Census Tract 1092",7,"3,153","3,160",222
6037109300,"Los Angeles County, Census Tract 1093",8,"3,120","3,128",256
6037109400,"Los Angeles County, Census Tract 1094",13,"3,752","3,765",345
6037109500,"Los Angeles County, Census Tract 1095",14,"4,524","4,538",309
6037109601,"Los Angeles County, Census Tract 1096.01",9,"4,958","4,967",181
6037109603,"Los Angeles County, Census Tract 1096.03",21,"4,203","4,224",497
6037109604,"Los Angeles County, Census Tract 1096.04",12,"2,938","2,950",407
6037109700,"Los Angeles County, Census Tract 1097",19,"4,389","4,408",431
6037109800,"Los Angeles County, Census Tract 1098",7,"4,679","4,686",149
6037111100,"Los Angeles County, Census Tract 1111",7,"3,047","3,054",229
6037111201,"Los Angeles County, Census Tract 1112.01",20,"3,609","3,629",551
6037111202,"Los Angeles County, Census Tract 1112.02",15,"5,489","5,504",273
6037111204,"Los Angeles County, Census Tract 1112.04",15,"5,865","5,880",255
6037111205,"Los Angeles County, Census Tract 1112.05",2,"3,864","3,866",52
6037111206,"Los Angeles County, Census Tract 1112.06",10,"4,716","4,726",212
6037111302,"Los Angeles County, Census Tract 1113.02",8,"4,633","4,641",172
6037111303,"Los Angeles County, Census Tract 1113.03",12,"4,429","4,441",270
6037111304,"Los Angeles County, Census Tract 1113.04",15,"3,359","3,374",445
6037111401,"Los Angeles County, Census Tract 1114.01",6,"2,406","2,412",249
6037111402,"Los Angeles County, Census Tract 1114.02",14,"5,333","5,347",262
6037113101,"Los Angeles County, Census Tract 1131.01",4,"3,461","3,465",115
6037113102,"Los Angeles County, Census Tract 1131.02",7,"2,971","2,978",235
6037113211,"Los Angeles County, Census Tract 1132.11",10,"4,275","4,285",233
6037113212,"Los Angeles County, Census Tract 1132.12",9,"3,211","3,220",280
6037113213,"Los Angeles County, Census Tract 1132.13",7,"4,589","4,596",152
6037113231,"Los Angeles County, Census Tract 1132.31",8,"2,254","2,262",354
6037113232,"Los Angeles County, Census Tract 1132.32",13,"4,297","4,310",302
6037113234,"Los Angeles County, Census Tract 1132.34",15,"4,542","4,557",329
6037113235,"Los Angeles County, Census Tract 1132.35",4,"1,815","1,819",220
6037113237,"Los Angeles County, Census Tract 1132.37",14,"3,921","3,935",356
6037113238,"Los Angeles County, Census Tract 1132.38",16,"5,182","5,198",308
6037113239,"Los Angeles County, Census Tract 1132.39",4,"2,259","2,263",177
6037113301,"Los Angeles County, Census Tract 1133.01",8,"3,655","3,648",219
6037113303,"Los Angeles County, Census Tract 1133.03",13,"4,160","4,173",312
6037113322,"Los Angeles County, Census Tract 1133.22",7,"4,251","4,258",164
6037113323,"Los Angeles County, Census Tract 1133.23",12,"3,927","3,939",305
6037113324,"Los Angeles County, Census Tract 1133.24",5,"2,072","2,077",241
6037113423,"Los Angeles County, Census Tract 1134.23",10,"2,639","2,649",378
6037113424,"Los Angeles County, Census Tract 1134.24",10,"3,613","3,623",276
6037113425,"Los Angeles County, Census Tract 1134.25",8,"4,020","4,028",199
6037113426,"Los Angeles County, Census Tract 1134.26",8,"2,479","2,487",322
6037113427,"Los Angeles County, Census Tract 1134.27",16,"3,024","3,040",526
6037113428,"Los Angeles County, Census Tract 1134.28",7,"3,397","3,404",206
6037115101,"Los Angeles County, Census Tract 1151.01",12,"5,112","5,124",234
6037115103,"Los Angeles County, Census Tract 1151.03",4,"2,345","2,349",170
6037115104,"Los Angeles County, Census Tract 1151.04",13,"4,409","4,422",294
6037115202,"Los Angeles County, Census Tract 1152.02",12,"5,189","5,201",231
6037115203,"Los Angeles County, Census Tract 1152.03",3,"2,793","2,796",107
6037115204,"Los Angeles County, Census Tract 1152.04",4,"4,228","4,232",95
6037115301,"Los Angeles County, Census Tract 1153.01",4,"4,236","4,240",94
6037115302,"Los Angeles County, Census Tract 1153.02",14,"4,044","4,058",345
6037115401,"Los Angeles County, Census Tract 1154.01",19,"5,980","5,999",317
6037115403,"Los Angeles County, Census Tract 1154.03",18,"3,245","3,263",552
6037115404,"Los Angeles County, Census Tract 1154.04",11,"2,956","2,967",371
6037117101,"Los Angeles County, Census Tract 1171.01",16,"5,195","5,211",307
6037117102,"Los Angeles County, Census Tract 1171.02",7,"2,733","2,740",255
6037117201,"Los Angeles County, Census Tract 1172.01",16,"4,514","4,530",353
6037117202,"Los Angeles County, Census Tract 1172.02",4,"2,711","2,715",147
6037117301,"Los Angeles County, Census Tract 1173.01",12,"3,917","3,929",305
6037117302,"Los Angeles County, Census Tract 1173.02",11,"5,414","5,425",203
6037117303,"Los Angeles County, Census Tract 1173.03",7,"3,647","3,654",192
6037117404,"Los Angeles County, Census Tract 1174.04",13,"4,548","4,561",285
6037117405,"Los Angeles County, Census Tract 1174.05",19,"3,364","3,383",562
6037117407,"Los Angeles County, Census Tract 1174.07",16,"3,482","3,498",457
6037117408,"Los Angeles County, Census Tract 1174.08",15,"2,843","2,858",525
6037117510,"Los Angeles County, Census Tract 1175.1",13,"4,181","4,194",310
6037117520,"Los Angeles County, Census Tract 1175.2",14,"3,961","3,975",352
6037117530,"Los Angeles County, Census Tract 1175.3",22,"5,888","5,910",372
6037119001,"Los Angeles County, Census Tract 1190.01",17,"4,024","4,041",421
6037119003,"Los Angeles County, Census Tract 1190.03",23,"3,893","3,916",587
6037119004,"Los Angeles County, Census Tract 1190.04",6,"2,830","2,836",212
6037119201,"Los Angeles County, Census Tract 1192.01",13,"3,866","3,879",335
6037119202,"Los Angeles County, Census Tract 1192.02",14,"4,394","4,408",318
6037119310,"Los Angeles County, Census Tract 1193.1",20,"3,983","4,003",500
6037119320,"Los Angeles County, Census Tract 1193.2",13,"4,793","4,806",271
6037119340,"Los Angeles County, Census Tract 1193.4",22,"3,600","3,622",607
