Census Tract,PM2.5 Score,PM2.5 Weight,Pollution Burden Score,PB Weight,Education Score,Edu Weight,Poverty Score,Pov Weight,Unemployment Score,Unemp Weight,Housing Burden Score,HB Weight,Ling Iso Score,LI Weight,Incarceration Score,Incar Weight,Avg. Energy Burden (% income),Energy Burden Score,EB Weight,Cumulative Weighted Score (Ignore NaNs)
6037602200,7.756590601,,7.67,,6.203620362,,4.587716662,,2.257,,7.371685843,,4.329,,N/A,,1,0,,0
6037602201,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,3.195146613,,,N/A,,0
6037602202,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,6.309403438,,,N/A,,0
6037602301,8.026466604,,7.11,,5.911591159,,3.503656948,,4.578,,1.274637319,,6.816,,5.166835187,,1,0,,3.732165992
6037602302,8.027508596,,8.06,,1.779177918,,0.5179841699,,6.153,,0.9144572286,,1.228,,1.162790698,,1,0,,2.38957075
6037602402,7.996248828,,5.82,,7.363736374,,5.043582807,,N/A,,8.329164582,,6.062,,5.945399393,,2,1.428571429,,0
6037602403,8.234865062,,4.82,,6.610661066,,6.681695221,,5.502,,6.809404702,,7.871,,6.107178969,,1,0,,5.433711943
6037602404,8.234865062,,4.75,,7.545754575,,7.33794209,,5.502,,8.214107054,,7.633,,5.510616785,,2,1.428571429,,6.014025356
6037602504,8.295300615,,5.12,,6.360636064,,7.38503156,,4.986,,8.748374187,,5.937,,8.463094034,,1,0,,5.816325387
6037602505,8.267166823,,5.19,,7.532753275,,8.98607354,,5.252,,9.710855428,,7.519,,8.928210313,,1,0,,6.542828708
6037602506,8.295300615,,5.65,,6.410641064,,8.452058912,,7.833,,8.656328164,,5.515,,8.68554095,,2,1.428571429,,6.697202745
6037602507,8.295300615,,5.32,,5.815581558,,7.727682597,,5.619,,7.955977989,,7.373,,7.381193124,,1,0,,5.841286002
6037602508,8.497447119,,6.89,,6.937693769,,7.079450957,,0.714,,6.605302651,,7.82,,N/A,,1,0,,0
6037602509,8.56621861,,8.52,,8.314831483,,4.992485723,,1.959,,4.899449725,,7.743,,N/A,,2,1.428571429,,0
6037602510,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,5.389282103,,,N/A,,0
